budget,log_budget,popularity,log_popularity,vote_average,vote_count,log_vote_count,runtime,release_year,release_month,release_quarter,release_dow,genre_count,prod_company_count,cast_size,star_power_count,season_winter,season_spring,season_summer,season_fall,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Romance,genre_Adventure,genre_Crime,genre_Science Fiction,genre_Horror,genre_Family,genre_Fantasy,genre_Mystery,genre_Animation,genre_History,genre_Music,pc_Warner_Bros.,pc_Universal_Pictures,pc_Paramount_Pictures,pc_Twentieth_Century_Fox_Film_Corporation,pc_Columbia_Pictures,pc_New_Line_Cinema,pc_Metro-Goldwyn-Mayer_(MGM),pc_Touchstone_Pictures,pc_Walt_Disney_Pictures,pc_Relativity_Media
209989999.9999998,19.16257047326243,143.34728766999996,4.97222211597744,7.2,7486.709999999994,8.921018288774976,162.0,2009.0,12.0,4.0,3.0,4,4,83,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
209989999.9999998,19.16257047326243,139.082615,4.942232355707408,6.9,4500.0,8.412054873292933,169.0,2007.0,5.0,2.0,5.0,3,3,34,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209989999.9999998,19.16257047326243,107.376788,4.6856139332345075,6.3,4466.0,8.404472321352118,148.0,2015.0,10.0,4.0,0.0,3,3,83,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
209989999.9999998,19.16257047326243,112.31295,4.730153459825441,7.6,7486.709999999994,8.921018288774976,165.0,2012.0,7.0,3.0,0.0,4,4,158,2,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209989999.9999998,19.16257047326243,43.926995,3.805038839029222,6.1,2124.0,7.661527081358517,132.0,2012.0,3.0,1.0,2.0,3,1,27,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209989999.9999998,19.16257047326243,115.699814,4.759604945460906,5.9,3576.0,8.182279739259018,139.0,2007.0,5.0,2.0,1.0,3,3,143,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
209989999.9999998,19.16257047326243,48.681969,3.9056420704952255,7.4,3330.0,8.11102783819368,100.0,2010.0,11.0,4.0,2.0,2,2,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
209989999.9999998,19.16257047326243,134.279229,4.907341005283723,7.3,6767.0,8.81996090128606,141.0,2015.0,4.0,2.0,2.0,3,3,72,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209989999.9999998,19.16257047326243,98.885637,4.604025901544294,7.4,5293.0,8.574329382787047,153.0,2009.0,7.0,3.0,1.0,3,2,49,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209989999.9999998,19.16257047326243,143.34728766999996,4.97222211597744,5.7,7004.0,8.854379458771108,151.0,2016.0,3.0,1.0,2.0,3,6,152,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209989999.9999998,19.16257047326243,57.925623,4.076276021528289,5.4,1400.0,7.244941546337007,154.0,2006.0,6.0,2.0,2.0,4,4,18,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200000000.0,19.11382792951231,107.928811,4.690694558768097,6.1,2965.0,7.994969522697877,106.0,2008.0,10.0,4.0,3.0,4,1,32,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000000.0,19.11382792951231,143.34728766999996,4.97222211597744,7.0,5246.0,8.565411763686711,151.0,2006.0,6.0,2.0,1.0,3,3,33,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209989999.9999998,19.16257047326243,49.046956,3.912961684730849,5.9,2311.0,7.7458682297922685,149.0,2013.0,7.0,3.0,2.0,3,6,60,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209989999.9999998,19.16257047326243,99.398009,4.609142376383708,6.5,6359.0,8.757783656334167,143.0,2013.0,6.0,2.0,2.0,4,5,33,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209989999.9999998,19.16257047326243,53.978602,4.006944054985661,6.3,1630.0,7.396948602621014,150.0,2008.0,5.0,2.0,3.0,3,7,21,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209989999.9999998,19.16257047326243,143.34728766999996,4.97222211597744,7.4,7486.709999999994,8.921018288774976,143.0,2012.0,4.0,2.0,2.0,3,2,115,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
209989999.9999998,19.16257047326243,135.413856,4.915693323827812,6.4,4948.0,8.506940814951886,136.0,2011.0,5.0,2.0,5.0,3,3,35,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209989999.9999998,19.16257047326243,52.035179,3.9709554480813694,6.2,4160.0,8.333510708982942,106.0,2012.0,5.0,2.0,2.0,3,5,18,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209989999.9999998,19.16257047326243,120.965743,4.803740210220969,7.1,4760.0,8.46821300919452,144.0,2014.0,12.0,4.0,2.0,3,5,42,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
209989999.9999998,19.16257047326243,89.866276,4.509388931245389,6.5,6586.0,8.792853288640693,136.0,2012.0,6.0,2.0,2.0,3,3,57,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200000000.0,19.11382792951231,37.668301,3.6550201687863995,6.2,1398.0,7.243512974665482,140.0,2010.0,5.0,2.0,2.0,2,4,34,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
209989999.9999998,19.16257047326243,94.370564,4.5577699773827085,7.6,4524.0,8.417372856134026,161.0,2013.0,12.0,4.0,2.0,2,4,32,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
180000000.0,19.00846741441004,42.990906,3.783982930738449,5.8,1303.0,7.1731917424865985,113.0,2007.0,12.0,4.0,1.0,2,4,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207000000.0,19.14822935606056,61.22601,4.130773079540168,6.6,2337.0,7.757051142032013,187.0,2005.0,12.0,4.0,2.0,3,4,33,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
200000000.0,19.11382792951231,100.025899,4.6153769097123725,7.5,7486.709999999994,8.921018288774976,194.0,1997.0,11.0,4.0,1.0,3,3,136,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
209989999.9999998,19.16257047326243,143.34728766999996,4.97222211597744,7.1,7241.0,8.887652690325586,147.0,2016.0,4.0,2.0,2.0,3,5,100,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209000000.0,19.157844814713773,64.928382,4.188569031644029,5.5,2114.0,7.656810091480378,131.0,2012.0,4.0,2.0,2.0,4,4,46,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150000000.0,18.826145858727198,143.34728766999996,4.97222211597744,6.5,7486.709999999994,8.921018288774976,124.0,2015.0,6.0,2.0,1.0,4,5,28,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000000.0,19.11382792951231,93.004993,4.543347897880621,6.9,7486.709999999994,8.921018288774976,143.0,2012.0,10.0,4.0,3.0,3,1,24,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200000000.0,19.11382792951231,35.149586,3.587665496257038,6.7,4321.0,8.371473537066832,127.0,2004.0,6.0,2.0,4.0,3,3,76,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200000000.0,19.11382792951231,77.68208,4.365415429368683,6.8,7486.709999999994,8.921018288774976,130.0,2013.0,4.0,2.0,3.0,3,1,107,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
