column,non_null,nulls,mean,std
budget,4803,0,28831579.537997086,39577026.874422446
log_budget,4803,0,13.000938270419843,7.040021475227855
popularity,4803,0,20.816245246252343,23.863605998506355
log_popularity,4803,0,2.514389888293146,1.1548171064926545
vote_average,4803,0,6.092171559442016,1.1946121628478923
vote_count,4803,0,680.0792733708098,1163.4127393519705
log_vote_count,4803,0,5.221803281249522,1.9012636005007386
runtime,4803,0,106.87424526337706,22.607363560559758
release_year,4803,0,2002.051842598376,31.44764227643409
release_month,4803,0,6.794503435352905,3.4252344940412165
release_quarter,4803,0,2.581719758484281,1.1034264715382731
release_dow,4803,0,3.2038309389964605,1.373535304140607
genre_count,4803,0,2.53175098896523,1.1209552188663132
prod_company_count,4803,0,2.8475952529668955,2.231893675895481
cast_size,4803,0,22.12304809494066,19.5824928748099
star_power_count,4803,0,0.3845513220903602,0.7050029033497607
season_winter,4803,0,0.24234853216739538,0.42854866522568025
season_spring,4803,0,0.22590047886737455,0.41821748944477233
season_summer,4803,0,0.24255673537372477,0.4286737980969283
season_fall,4803,0,0.28898605038517594,0.453338617523071
genre_Drama,4803,0,0.47824276493858003,0.4995784080444966
genre_Comedy,4803,0,0.35852592129918803,0.4796175337281518
genre_Thriller,4803,0,0.2652508848636269,0.4415126710635268
genre_Action,4803,0,0.2402665001041016,0.4272897401636488
genre_Romance,4803,0,0.18613366645846346,0.38925502117375754
genre_Adventure,4803,0,0.1644805330002082,0.3707496539439935
genre_Crime,4803,0,0.14490943160524672,0.3520461506850357
genre_Science Fiction,4803,0,0.11138871538621695,0.31464564509950904
genre_Horror,4803,0,0.1080574640849469,0.31048529685423754
genre_Family,4803,0,0.10680824484697064,0.30890145751133125
genre_Fantasy,4803,0,0.08827815948365605,0.2837285441981121
genre_Mystery,4803,0,0.07245471580262336,0.25926632094653684
genre_Animation,4803,0,0.04871955028107433,0.21530352316557932
genre_History,4803,0,0.041016031646887365,0.1983479465641076
genre_Music,4803,0,0.03851759317093483,0.1924622050898354
pc_Warner_Bros.,4803,0,0.06641682281907141,0.24903522024959418
pc_Universal_Pictures,4803,0,0.0647511971684364,0.24611194755434226
pc_Paramount_Pictures,4803,0,0.05933791380387258,0.2362806582695283
pc_Twentieth_Century_Fox_Film_Corporation,4803,0,0.0462211118051218,0.2099854783555592
pc_Columbia_Pictures,4803,0,0.04184884447220487,0.20026449725059894
pc_New_Line_Cinema,4803,0,0.034353529044347283,0.18215452869921062
pc_Metro-Goldwyn-Mayer_(MGM),4803,0,0.02540079117218405,0.15735547733323693
pc_Touchstone_Pictures,4803,0,0.024567978346866543,0.15482048730471368
pc_Walt_Disney_Pictures,4803,0,0.023735165521549032,0.15223873649138384
pc_Relativity_Media,4803,0,0.021236727045596503,0.14418757583966804
